"length"	"gene_num"	"phyla"	"in_num"	"out_num"	"quality"	"mro"	"mip"
"OrkinJD_2019_SSR091__bin.29"	1562573	1526	"p__Bacillota"	123	19	67.73	0.553467340935796	1.93226544622426
"OrkinJD_2019_SSR091__bin.4"	2974569	2863	"p__Bacillota_A"	147	27	86.3	0.513804753680322	2.3025171624714
"OrkinJD_2019_SSR093__bin.11"	1309020	1302	"p__Bacillota_C"	144	22	67.16	0.523916918431808	1.79481311975591
"OrkinJD_2019_SSR093__bin.16"	2657534	1319	"p__Pseudomonadota"	118	22	63.41	0.507710366102578	1.7490465293669
"OrkinJD_2019_SSR096__bin.8"	817022	704	"p__Pseudomonadota"	108	23	67.36	0.392741294555532	3.10129672006102
"OrkinJD_2019_SSR098__bin.14"	4393020	3870	"p__Bacteroidota"	135	30	84.56	0.464697661875215	2.81906941266209
"OrkinJD_2019_SSR098__bin.17"	1961466	2012	"p__Bacillota"	127	16	84.65	0.538779364086928	1.12494279176201
"OrkinJD_2019_SSR098__bin.18"	1948651	1787	"p__Actinomycetota"	127	21	95.38	0.566697196217849	1.83585049580473
"OrkinJD_2019_SSR102__bin.12"	2526714	2421	"p__Bacillota_A"	128	22	86.58	0.539276036550783	1.76582761250953
"OrkinJD_2019_SSR102__bin.14"	4274782	4230	"p__Pseudomonadota"	258	49	87.19	0.333002121909115	2.82486651411137
"OrkinJD_2019_SSR102__bin.1"	2178727	1772	"p__Bacteroidota"	95	26	71.28	0.522352347632641	2.82425629290618
"OrkinJD_2019_SSR105__bin.10"	1562693	1591	"p__Bacillota"	122	18	78.54	0.528149796246479	1.66849733028223
"OrkinJD_2019_SSR105__bin.15"	1695342	1803	"p__Campylobacterota"	113	31	98	0.454876870666407	2.72799389778795
"OrkinJD_2019_SSR105__bin.18"	1418957	1429	"p__Bacillota"	130	21	72.28	0.574808594118243	1.67673531655225
"OrkinJD_2019_SSR116__bin.2"	4139670	3010	"p__Bacteroidota"	137	21	55.8	0.501519851856191	2.64469870327994
"OrkinJD_2019_SSR118__bin.20"	1764454	1716	"p__Bacillota"	136	25	91.76	0.566157744196202	1.8372234935164
"OrkinJD_2019_SSR118__bin.22"	1958459	1699	"p__Actinomycetota"	114	21	74.07	0.54394338285394	1.49244851258581
"OrkinJD_2019_SSR118__bin.3"	1055732	1099	"p__Chlamydiota"	112	19	82.47	0.485036630778564	1.34828375286041
"OrkinJD_2019_SSR118__bin.4"	1676220	1335	"p__Bacteroidota"	91	35	53.23	0.426248035636993	2.47063310450038
"QueTC_2022_1-12-10__bin.12"	2049430	1755	"p__Bacteroidota"	95	28	99.84	0.494587603640779	1.32738367658276
"QueTC_2022_1-12-10__bin.20"	1488966	1439	"p__Bacillota_B"	92	19	95.24	0.530568286465956	1.69733028222731
"QueTC_2022_1-12-10__bin.35"	2590396	2368	"p__Bacillota_A"	113	22	91.54	0.557131531503584	1.41296720061022
"QueTC_2022_1-12-10__bin.37"	2100956	1881	"p__Bacillota_A"	122	17	89.62	0.606226741788916	1.02044241037376
"QueTC_2022_1-12-10__bin.40"	2419549	2197	"p__Spirochaetota"	116	20	99.29	0.585747487644108	2.1905415713196
"QueTC_2022_1-12-10__bin.47"	1453692	1524	"p__Bacillota_A"	119	23	76.41	0.567358582289179	1.87398932112891
"QueTC_2022_1-12-10__bin.61"	3125901	2518	"p__Bacteroidota"	132	27	94.96	0.510482962063302	2.23417238749047
"QueTC_2022_1-12-10__bin.79"	1219552	1211	"p__Bacillota_A"	83	13	61.5	0.568792247792121	1.46849733028223
"QueTC_2022_1-12-10__bin.80"	1137903	970	"p__Bacillota_A"	77	15	53.2	0.516529021190484	1.2977879481312
"QueTC_2022_1-12-10__bin.8"	1867653	1655	"p__Bacillota_A"	113	14	96.55	0.57388964067835	1.40640732265446
"QueTC_2022_1-12-10__bin.9"	1775320	1687	"p__Bacillota_A"	104	14	84.91	0.545143420364006	1.43661327231121
"QueTC_2022_1-12-11__bin.12"	653548	736	"p__Bacillota"	61	13	69.15	0.486398669065645	1.34553775743707
"QueTC_2022_1-12-11__bin.21"	739250	822	"p__Bacillota"	45	11	57.51	0.372315034283619	0.528604118993135
"QueTC_2022_1-12-11__bin.24"	1683741	1532	"p__Bacillota_A"	128	20	95.69	0.610193281904693	1.53592677345538
"QueTC_2022_1-12-11__bin.60"	1860265	1838	"p__Bacillota"	146	28	99.11	0.511246485981903	2.76582761250953
"QueTC_2022_1-12-11__bin.62"	3063047	2929	"p__Bacillota_A"	154	24	80.45	0.580600305169247	1.97925247902365
"QueTC_2022_1-12-11__bin.73"	1419688	1456	"p__Pseudomonadota"	102	23	97.68	0.460771248456882	1.31502669717773
"QueTC_2022_1-12-11__bin.79"	990683	815	"p__Bacillota_A"	47	17	96.24	0.39544598279666	0.80839054157132
"QueTC_2022_1-12-12__bin.11"	3488134	3608	"p__Bacillota"	219	34	87.49	0.488182832686683	2.54675819984744
"QueTC_2022_1-12-12__bin.24"	2220300	2063	"p__Bacillota_A"	125	28	90.01	0.586141103053201	1.17254004576659
"QueTC_2022_1-12-12__bin.32"	2258921	2103	"p__Pseudomonadota"	104	27	99.92	0.470608490133049	1.706941266209
"QueTC_2022_1-12-12__bin.34"	906842	864	"p__Bacillota_A"	72	16	52.9	0.489570570719297	2.10877192982456
"QueTC_2022_1-12-12__bin.38"	2496122	2416	"p__Bacillota_A"	102	19	96.52	0.545965220269251	1.38047292143402
"QueTC_2022_1-12-12__bin.65"	1693663	1837	"p__Bacillota"	150	21	54.83	0.518356874363478	1.71578947368421
"QueTC_2022_1-12-12__bin.8"	3246590	3360	"p__Pseudomonadota"	175	42	59.27	0.400068534275284	2.19282990083905
"QueTC_2022_1-12-1__bin.11"	1549974	1663	"p__Bacillota_A"	89	19	73.32	0.542876802471376	1.95072463768116
"QueTC_2022_1-12-1__bin.12"	718372	792	"p__Bacillota_A"	64	10	79.86	0.458781097977884	2.05797101449275
"QueTC_2022_1-12-1__bin.13"	3408793	2725	"p__Bacteroidota"	128	28	95.47	0.532204280399253	2.70724637681159
"QueTC_2022_1-12-1__bin.18"	2003595	1799	"p__Bacillota_A"	130	17	98.4	0.580572963835603	1.52524790236461
"QueTC_2022_1-12-1__bin.24"	2126741	1969	"p__Bacillota_A"	121	11	96.44	0.54774913802328	1.17345537757437
"QueTC_2022_1-12-1__bin.31"	1976803	1726	"p__Bacillota_A"	118	15	99.72	0.615243193225641	1.21754385964912
"QueTC_2022_1-12-1__bin.35"	1066842	1202	"p__Bacillota_A"	81	18	66.63	0.504465872520188	1.05278413424867
"QueTC_2022_1-12-1__bin.36"	798150	909	"p__Bacillota"	46	13	55.48	0.454894600161827	0.995118230358505
"QueTC_2022_1-12-1__bin.45"	2305547	2128	"p__Bacillota_A"	143	28	73.83	0.568275158304522	2.39557589626239
"QueTC_2022_1-12-1__bin.49"	2210338	2036	"p__Bacillota_A"	154	27	84.47	0.580379495397626	1.36857360793288
"QueTC_2022_1-12-1__bin.51"	780455	738	"p__Pseudomonadota"	56	19	99.31	0.383308131994045	1.60030511060259
"QueTC_2022_1-12-1__bin.52"	442325	463	"p__Patescibacteria"	45	8	76.7	0.391037723268772	1.92692601067887
"QueTC_2022_1-12-1__bin.54"	1191207	1126	"p__Bacillota"	85	16	76.7	0.481304769071216	1.158352402746
"QueTC_2022_1-12-1__bin.56"	718829	836	"p__Bacillota"	59	11	78.91	0.452258567924409	0.344774980930587
"QueTC_2022_1-12-1__bin.5"	1924115	1890	"p__Bacteroidota"	140	28	78.58	0.483444283844026	3.95591151792525
"QueTC_2022_1-12-2__bin.10"	2267323	1969	"p__Bacillota_A"	134	17	96.01	0.574508361466292	1.64546147978642
"QueTC_2022_1-12-2__bin.11"	1298961	1434	"p__Bacillota_A"	108	16	55.4	0.578441562528246	1.31106025934401
"QueTC_2022_1-12-2__bin.13"	3151165	2659	"p__Bacteroidota"	114	21	90.27	0.524877815130983	1.44744469870328
"QueTC_2022_1-12-2__bin.15"	1900756	1821	"p__Bacillota_A"	114	18	93.81	0.567264646837384	0.673073989321129
"QueTC_2022_1-12-2__bin.19"	1221917	1255	"p__Bacteroidota"	114	20	53.66	0.41389909443615	1.6651411136537
"QueTC_2022_1-12-2__bin.24"	2071717	2172	"p__Pseudomonadota"	158	38	63.81	0.425699787495259	2.73577421815408
"QueTC_2022_1-12-2__bin.25"	837665	900	"p__Bacillota"	59	5	79.93	0.449264053542698	0.499466056445461
"QueTC_2022_1-12-2__bin.26"	1083475	1136	"p__Bacillota_A"	72	16	98.17	0.47554082242455	0.865751334858886
"QueTC_2022_1-12-2__bin.33"	1553975	1605	"p__Bacillota_A"	100	9	73.67	0.555300189708014	0.854309687261632
"QueTC_2022_1-12-2__bin.34"	2080819	2042	"p__Pseudomonadota"	168	37	64.97	0.458055372377472	3.06864988558352
"QueTC_2022_1-12-2__bin.37"	2014941	2048	"p__Bacillota"	126	26	91.35	0.566088944791221	2.61098398169336
"QueTC_2022_1-12-2__bin.3"	2772829	2824	"p__Bacillota"	179	29	69.72	0.459911950339054	2.43279938977879
"QueTC_2022_1-12-2__bin.47"	1441630	1398	"p__Bacteroidota"	77	21	57.13	0.492288435886162	0.546758199847445
"QueTC_2022_1-12-2__bin.5"	2413540	2543	"p__Pseudomonadota"	184	27	84.75	0.410887778916052	2.85919145690313
"QueTC_2022_1-12-2__bin.8"	2627092	2387	"p__Bacteroidota"	128	30	99.25	0.387962792049682	3.43813882532418
"QueTC_2022_1-12-3__bin.16"	3350334	2994	"p__Bacillota_A"	134	24	61.15	0.545279837860233	1.15850495804729
"QueTC_2022_1-12-3__bin.17"	1880588	1781	"p__Bacillota_A"	118	15	70.07	0.582134254496598	1.05507246376812
"QueTC_2022_1-12-3__bin.24"	1130411	1258	"p__Bacillota_B"	99	18	74.87	0.534113961984601	1.65995423340961
"QueTC_2022_1-12-3__bin.26"	1229854	1302	"p__Bacillota_A"	108	14	59.25	0.587648457631479	1.241647597254
"QueTC_2022_1-12-3__bin.28"	1553937	1367	"p__Bacillota_A"	105	13	77.79	0.567574901279753	2.29946605644546
"QueTC_2022_1-12-3__bin.37"	1517294	1471	"p__Bacillota_A"	103	20	81.55	0.57517448866203	1.60381388253242
"QueTC_2022_1-12-3__bin.40"	945173	932	"p__Bacillota_A"	75	11	63.32	0.467105756748779	0.684210526315789
"QueTC_2022_1-12-3__bin.44"	2154195	2207	"p__Bacillota_A"	114	14	81.63	0.598995232995542	0.825781845919146
"QueTC_2022_1-12-3__bin.46"	2795836	2244	"p__Bacteroidota"	118	32	91.46	0.515506648546119	3.31853546910755
"QueTC_2022_1-12-3__bin.47"	1952367	1799	"p__Bacillota_A"	120	15	98.32	0.598331537016835	0.931350114416476
"QueTC_2022_1-12-3__bin.48"	2641620	2272	"p__Bacteroidota"	127	29	96.66	0.495010717954138	2.85232646834478
"QueTC_2022_1-12-3__bin.4"	1472124	1591	"p__Bacillota_A"	105	10	53.43	0.554158255860845	0.733333333333333
"QueTC_2022_1-12-3__bin.53"	1772831	1611	"p__Bacillota_A"	140	22	90.04	0.612315778922952	1.72860411899313
"QueTC_2022_1-12-3__bin.64"	2749397	2205	"p__Bacteroidota"	114	22	88.15	0.509530911311254	1.36628527841342
"QueTC_2022_1-12-3__bin.66"	2437996	1900	"p__Bacteroidota"	87	24	90.96	0.497807444879179	1.30343249427918
"QueTC_2022_1-12-3__bin.70"	1224939	1281	"p__Bacillota_A"	100	18	69.44	0.54573684255881	1.31289092295957
"QueTC_2022_1-12-4__bin.10"	1911054	1719	"p__Bacillota_A"	115	17	92.17	0.599652453682154	2.14309687261632
"QueTC_2022_1-12-4__bin.11"	3047957	3088	"p__Pseudomonadota"	180	37	74.46	0.439205276984201	2.59099923722349
"QueTC_2022_1-12-4__bin.13"	1752640	1689	"p__Bacillota_A"	113	18	84.8	0.560732729088846	1.31884057971015
"QueTC_2022_1-12-4__bin.1"	1621176	1585	"p__Bacillota_C"	132	30	98.45	0.546983052430949	2.66803966437834
"QueTC_2022_1-12-4__bin.22"	2855887	2664	"p__Bacteroidota"	128	26	97.76	0.418010634985655	2.21174675819985
"QueTC_2022_1-12-4__bin.37"	1850796	1742	"p__Bacillota_A"	122	19	99.58	0.58888585429047	1.18871090770404
"QueTC_2022_1-12-4__bin.38"	2340956	2178	"p__Bacillota_A"	153	24	96.01	0.582941841789186	2.07566742944317
"QueTC_2022_1-12-4__bin.45"	2116170	2089	"p__Bacillota_A"	151	16	79.88	0.54486090139199	2.39328756674294
"QueTC_2022_1-12-4__bin.50"	1929023	1886	"p__Bacillota_A"	141	21	80.02	0.584531465364493	1.75514874141876
"QueTC_2022_1-12-4__bin.56"	853032	869	"p__Bacillota_A"	53	12	81.58	0.474543529539779	0.678413424866514
"QueTC_2022_1-12-4__bin.5"	1458731	1397	"p__Bacillota_A"	105	15	98.53	0.590190474123924	0.74233409610984
"QueTC_2022_1-12-4__bin.73"	2020695	1848	"p__Bacillota_A"	113	23	96.91	0.577874661494971	1.25415713196034
"QueTC_2022_1-12-4__bin.79"	1096612	1097	"p__Bacillota_A"	93	19	81.98	0.489234135029824	2.06590389016018
"QueTC_2022_1-12-4__bin.7"	1309192	1331	"p__Bacillota_A"	82	14	98.13	0.49737930221309	1.00579710144928
"QueTC_2022_1-12-4__bin.81"	1426238	1493	"p__Bacillota_A"	127	23	70.11	0.548585280746722	1.95682684973303
"QueTC_2022_1-12-5__bin.15"	1467384	1559	"p__Bacillota"	69	11	84.72	0.480055989982149	0.787795575896262
"QueTC_2022_1-12-5__bin.19"	1888378	1672	"p__Bacillota_A"	102	15	96.19	0.600710668478164	2.13821510297483
"QueTC_2022_1-12-5__bin.20"	1448844	1366	"p__Bacillota_A"	104	16	96.99	0.597856447218561	1.48939740655988
"QueTC_2022_1-12-5__bin.26"	2450170	2115	"p__Spirochaetota"	125	28	82.15	0.564855556014044	2.36643783371472
"QueTC_2022_1-12-5__bin.30"	1950347	1863	"p__Bacillota_A"	104	22	96.9	0.522860318077004	1.13348588863463
"QueTC_2022_1-12-5__bin.34"	1633431	1533	"p__Bacillota_A"	114	16	97.41	0.600931710965139	1.38825324180015
"QueTC_2022_1-12-5__bin.38"	1841110	1537	"p__Bacteroidota"	94	17	64.12	0.459512036734534	1.32067124332571
"QueTC_2022_1-12-5__bin.41"	2272289	2046	"p__Bacillota_A"	139	23	99.13	0.574724630427737	2.25888634630053
"QueTC_2022_1-12-5__bin.51"	1333233	1382	"p__Bacillota_A"	111	15	86.48	0.604743699854562	1.78459191456903
"QueTC_2022_1-12-5__bin.53"	1985241	1958	"p__Bacillota_B"	89	16	95.3	0.491218780916514	2.32784134248665
"QueTC_2022_1-12-5__bin.56"	1251394	1336	"p__Bacillota_A"	86	16	73.47	0.547604541314611	0.926926010678871
"QueTC_2022_1-12-5__bin.5"	1385406	1345	"p__Bacillota_A"	79	15	71.77	0.586037186457042	1.43630816170862
"QueTC_2022_1-12-5__bin.66"	1852393	1749	"p__Bacillota_A"	117	24	97.44	0.54030438977091	1.52173913043478
"QueTC_2022_1-12-5__bin.68"	1977061	1834	"p__Bacillota_A"	116	15	98.09	0.585359789499722	1.10282227307399
"QueTC_2022_1-12-5__bin.69"	1843091	1562	"p__Bacteroidota"	105	25	98.36	0.49152207973372	2.21342486651411
"QueTC_2022_1-12-5__bin.74"	1679168	1592	"p__Bacillota_A"	102	16	76.12	0.602119879652557	1.30633104500381
"QueTC_2022_1-12-5__bin.77"	2820138	2568	"p__Bacillota_A"	123	9	99.04	0.571362969243098	0.729977116704805
"QueTC_2022_1-12-5__bin.79"	2546913	2454	"p__Bacillota_A"	122	30	98.5	0.577146764946995	2.04622425629291
"QueTC_2022_1-12-5__bin.7"	1888262	1744	"p__Bacillota_A"	83	19	85.53	0.538100567611628	1.41815408085431
"QueTC_2022_1-12-5__bin.80"	1518092	1548	"p__Cyanobacteriota"	102	25	76.52	0.46285834308367	2.10083905415713
"QueTC_2022_1-12-5__bin.87"	1367319	1314	"p__Bacillota_A"	102	15	69.67	0.579270576125805	0.575591151792525
"QueTC_2022_1-12-5__bin.92"	983571	943	"p__Bacillota_A"	61	20	95.54	0.473123469118077	0.902669717772693
"QueTC_2022_1-12-6__bin.18"	501229	554	"p__Bacillota"	60	9	50.84	0.459257641448833	1.63463005339436
"QueTC_2022_1-12-6__bin.22"	1112680	1158	"p__Bacillota_A"	80	17	71.92	0.530603850087675	1.50831426392067
"QueTC_2022_1-12-6__bin.25"	1775564	1696	"p__Bacillota_A"	112	14	98.88	0.605378597506577	0.921128909229596
"QueTC_2022_1-12-6__bin.27"	2684077	2133	"p__Bacteroidota"	122	30	99.78	0.533844519196733	3.46834477498093
"QueTC_2022_1-12-6__bin.3"	874082	900	"p__Bacillota"	49	13	62.72	0.40372193388764	2.92646834477498
"QueTC_2022_1-12-6__bin.50"	1620770	1486	"p__Bacillota_A"	96	14	98.81	0.574633555406	0.916094584286804
"QueTC_2022_1-12-6__bin.56"	2077672	2161	"p__Bacillota_A"	108	14	74.28	0.597644078935894	1.09244851258581
"QueTC_2022_1-12-6__bin.59"	1043071	1133	"p__Bacillota"	59	7	67.92	0.464417984982424	0.131655225019069
"QueTC_2022_1-12-6__bin.66"	1402271	1319	"p__Bacillota_A"	141	23	69.3	0.567613809031208	2.06102212051869
"QueTC_2022_1-12-6__bin.75"	2184114	2021	"p__Bacteroidota"	77	24	57.71	0.471416458611005	3.05919145690313
"QueTC_2022_1-12-6__bin.80"	2337401	2306	"p__Bacillota_A"	144	23	80.66	0.571282775910385	1.76247139588101
"QueTC_2022_1-12-7__bin.10"	1551291	1579	"p__Bacillota_C"	150	26	73.89	0.515432331607648	2.46880244088482
"QueTC_2022_1-12-7__bin.22"	1344988	1412	"p__Bacillota_A"	122	17	65.87	0.534400542022646	1.47490465293669
"QueTC_2022_1-12-7__bin.23"	1679295	1687	"p__Bacillota_A"	114	17	73.2	0.521527900675593	2.10663615560641
"QueTC_2022_1-12-7__bin.31"	3039104	2536	"p__Verrucomicrobiota"	172	34	95.58	0.547404826887487	2.63874904652937
"QueTC_2022_1-12-7__bin.32"	1935054	1695	"p__Bacillota_A"	134	19	97.22	0.585913767374833	2.06132723112128
"QueTC_2022_1-12-7__bin.36"	1569818	1507	"p__Bacillota_A"	63	11	83.25	0.447108243460004	1.05873379099924
"QueTC_2022_1-12-7__bin.43"	1997174	1883	"p__Bacillota_A"	126	16	79.24	0.585432921080195	1.68649885583524
"QueTC_2022_1-12-7__bin.44"	1792930	1749	"p__Bacillota_A"	91	18	91.83	0.545190936353819	2.41296720061022
"QueTC_2022_1-12-7__bin.52"	1624808	1652	"p__Campylobacterota"	77	27	99.4	0.421726412559272	3.09519450800915
"QueTC_2022_1-12-7__bin.55"	2435644	2013	"p__Bacteroidota"	120	28	98.89	0.516435132663167	2.35072463768116
"QueTC_2022_1-12-7__bin.65"	1986282	1953	"p__Bacillota_A"	121	19	79.04	0.570609561338118	1.77437070938215
"QueTC_2022_1-12-7__bin.66"	1112373	1228	"p__Bacillota"	60	12	82.77	0.412011361421502	0.526773455377574
"QueTC_2022_1-12-7__bin.7"	1383072	1479	"p__Bacillota"	62	11	78.54	0.482253544431229	0.566132723112128
"QueTC_2022_1-12-8__bin.11"	2070785	2059	"p__Bacillota_A"	130	14	83.66	0.592827081040728	1.27322654462243
"QueTC_2022_1-12-8__bin.12"	1826870	1789	"p__Cyanobacteriota"	142	31	83.94	0.52975101593781	2.33928299008391
"QueTC_2022_1-12-8__bin.18"	2108399	1925	"p__Bacillota_A"	102	15	92.7	0.591533421069702	1.34218154080854
"QueTC_2022_1-12-8__bin.19"	1707310	1396	"p__Bacillota_A"	114	15	97.52	0.599037078653573	1.43356216628528
"QueTC_2022_1-12-8__bin.22"	1502808	1393	"p__Bacillota_A"	116	18	97.99	0.610877756118138	1.45507246376812
"QueTC_2022_1-12-8__bin.31"	2475761	2217	"p__Bacillota_A"	103	15	99.66	0.568501265062786	0.97955758962624
"QueTC_2022_1-12-8__bin.38"	1854381	1727	"p__Bacillota_A"	131	19	77.94	0.555990778803595	2.25812356979405
"QueTC_2022_1-12-8__bin.6"	1043778	1059	"p__Bacillota"	62	7	83.43	0.437641080086416	1.14980930587338
"QueTC_2022_1-12-9__bin.20"	2351909	2221	"p__Bacillota_A"	126	14	83.76	0.585204526514438	1.14813119755912
"QueTC_2022_1-12-9__bin.22"	1018087	1052	"p__Bacillota_A"	81	14	65.08	0.549217215140954	1.9022120518688
"QueTC_2022_1-12-9__bin.60"	1558862	1495	"p__Bacillota_A"	75	18	94.47	0.539842725824866	1.00701754385965
"QueTC_2022_1-12-9__bin.6"	2065196	1967	"p__Bacillota_A"	120	10	82.38	0.574371539929765	0.841037376048818
"QueTC_2022_1-12-9__bin.70"	1642540	1749	"p__Bacillota_A"	115	18	66.84	0.583893864655249	1.32631578947368
"QueTC_2022_1-12-9__bin.79"	1895131	1957	"p__Bacillota_A"	122	24	83.69	0.535684633574974	1.77742181540809
"QueTC_2022_B0519__bin.11"	2252881	2215	"p__Bacillota_C"	159	33	98.3	0.519988402022818	1.67810831426392
"QueTC_2022_B0519__bin.12"	2546145	2359	"p__Bacillota_A"	157	20	86.66	0.580978508111388	2.02273073989321
"QueTC_2022_B0519__bin.14"	2036759	2007	"p__Bacillota_A"	93	14	78.95	0.522543732122686	1.92173913043478
"QueTC_2022_B0519__bin.16"	1333669	1234	"p__Bacillota"	94	12	87.37	0.568173713280418	2.20350877192982
"QueTC_2022_B0519__bin.1"	2229369	2324	"p__Cyanobacteriota"	119	25	87.33	0.493871055604439	2.92448512585812
"QueTC_2022_B0519__bin.20"	1479479	1251	"p__Bacillota_A"	107	15	95.98	0.585963772530806	2.13104500381388
"QueTC_2022_B0519__bin.21"	1679541	1574	"p__Bacillota_A"	116	16	87.12	0.609284879466855	0.914569031273837
"QueTC_2022_B0519__bin.22"	2302465	1930	"p__Bacillota_A"	115	10	92.83	0.595858047970962	0.933638443935927
"QueTC_2022_B0519__bin.26"	1615305	1498	"p__Bacillota_A"	118	15	91.5	0.626149931150786	1.24729214340198
"QueTC_2022_B0519__bin.28"	1616668	1624	"p__Pseudomonadota"	83	23	93.41	0.464737313635379	1.77528604118993
"QueTC_2022_B0519__bin.29"	1667406	1607	"p__Bacillota_A"	128	14	82.65	0.591805294671968	0.987032799389779
"QueTC_2022_B0519__bin.32"	1683995	1687	"p__Pseudomonadota"	84	23	96.67	0.479271168699577	1.1862700228833
"QueTC_2022_B0519__bin.34"	2178197	2081	"p__Bacillota_A"	101	15	79.68	0.570910216560697	1.47627765064836
"QueTC_2022_B0519__bin.35"	3089911	2508	"p__Bacteroidota"	129	30	96.37	0.509828594509535	2.46361556064073
"QueTC_2022_B0519__bin.37"	3142772	2537	"p__Bacteroidota"	123	24	55.14	0.496027243772715	2.91838291380625
"QueTC_2022_B0519__bin.38"	1589153	1570	"p__Bacillota"	97	14	86.74	0.575389308324494	1.61678108314264
"QueTC_2022_B0519__bin.3"	1744999	1738	"p__Pseudomonadota"	101	25	84.24	0.465925839092144	2.07643020594966
"QueTC_2022_B0519__bin.41"	1867118	1774	"p__Bacillota_A"	114	12	86.91	0.605852359490773	0.662090007627765
"QueTC_2022_B0519__bin.43"	1607488	1599	"p__Bacillota_A"	125	17	92.57	0.566231741994361	1.11121281464531
"QueTC_2022_B0519__bin.44"	1407667	1493	"p__Bacillota_A"	123	27	83.2	0.582143560381978	0.892753623188406
"QueTC_2022_B0519__bin.48"	1665601	1638	"p__Pseudomonadota"	76	24	80.18	0.489590713494656	0.985202135774218
"QueTC_2022_B0519__bin.51"	1775797	1606	"p__Pseudomonadota"	137	27	96.22	0.462846009418663	2.38337147215866
"QueTC_2022_B0519__bin.54"	1573096	1358	"p__Bacillota_A"	114	25	98.07	0.588861648646663	1.73287566742944
"QueTC_2022_B0519__bin.56"	3112574	2483	"p__Bacteroidota"	140	32	99.22	0.561293595004779	3.24042715484363
"QueTC_2022_B0519__bin.57"	1495162	1504	"p__Bacillota_A"	122	18	81.65	0.593065299518678	1.08329519450801
"QueTC_2022_B0519__bin.5"	1736453	1844	"p__Bacillota_A"	110	27	86.73	0.529447534101202	2.10114416475973
"QueTC_2022_B0519__bin.61"	2500612	2333	"p__Bacteroidota"	93	20	84.59	0.488778091952903	2.04088482074752
"QueTC_2022_B0519__bin.62"	2172769	1842	"p__Bacillota_A"	126	21	86.81	0.572963245411376	1.61906941266209
"QueTC_2022_B0519__bin.63"	2649704	2189	"p__Bacteroidota"	114	21	99.34	0.538568627684928	2.31884057971015
"QueTC_2022_B0519__bin.68"	1477439	1426	"p__Bacillota_A"	111	15	96.94	0.535837142650907	1.72921434019832
"QueTC_2022_B0519__bin.69"	1888523	1765	"p__Bacillota_A"	119	25	87.07	0.569328586013397	2.17909992372235
"QueTC_2022_B0519__bin.6"	2382679	2233	"p__Spirochaetota"	105	20	74.65	0.58785694983503	1.74385964912281
"QueTC_2022_B0519__bin.71"	1979847	1861	"p__Bacillota_A"	87	19	97.59	0.591762630822899	1.69519450800915
"QueTC_2022_B0519__bin.72"	2687790	2541	"p__Bacillota_A"	119	19	91.79	0.564971984564576	1.53546910755149
"QueTC_2022_B0519__bin.78"	4743592	3852	"p__Bacteroidota"	124	26	93.91	0.505706424185177	3.52295957284516
"QueTC_2022_B0519__bin.81"	1961543	1999	"p__Pseudomonadota"	86	25	88.26	0.491535188506567	0.989016018306636
"QueTC_2022_B0519__bin.82"	2828578	2266	"p__Bacteroidota"	131	24	71.07	0.521029455894362	2.49504195270786
"QueTC_2022_B0519__bin.83"	1509062	1587	"p__Bacillota"	72	12	60.76	0.519365508470397	0.88466819221968
"QueTC_2022_B0519__bin.86"	1268100	1261	"p__Bacillota_A"	89	17	50.14	0.488131626957645	1.8184591914569
"QueTC_2022_B0519__bin.87"	2399895	1957	"p__Bacillota_A"	129	21	95.93	0.593056962729205	2.22684973302822
"QueTC_2022_B0519__bin.88"	2278282	2008	"p__Cyanobacteriota"	133	26	92.27	0.523224387616768	1.97482837528604
"QueTC_2022_B0519__bin.89"	1797059	1690	"p__Bacillota_A"	120	15	99.83	0.586710466448223	1.83432494279176
"QueTC_2022_B0519__bin.91"	1220667	1232	"p__Bacillota"	83	15	88.18	0.53127985235936	1.19649122807018
"QueTC_2022_B0519__bin.92"	3463294	2966	"p__Bacteroidota"	120	29	83.41	0.507350875040797	2.33729977116705
"QueTC_2022_B0519__bin.9"	3216453	2893	"p__Bacillota_A"	143	32	97.44	0.573013187767728	3.14645308924485
"QueTC_2022_B-G-01__bin.11"	2073175	1970	"p__Bacillota"	171	28	78.5	0.499960854067833	2.96536994660564
"QueTC_2022_B-G-01__bin.12"	2165718	2294	"p__Pseudomonadota"	166	38	72.93	0.450641054942293	3.23783371472159
"QueTC_2022_B-G-01__bin.13"	3080934	3014	"p__Pseudomonadota"	180	36	86.28	0.454923642713843	2.64912280701754
"QueTC_2022_B-G-01__bin.14"	3055317	3175	"p__Bacillota"	202	33	79.63	0.444779472344528	2.91533180778032
"QueTC_2022_B-G-01__bin.15"	2848677	2840	"p__Pseudomonadota"	177	38	81.31	0.444327875565656	3.19267734553776
"QueTC_2022_B-G-01__bin.17"	2661698	2767	"p__Pseudomonadota"	165	38	82.64	0.460259326479136	2.44820747520976
"QueTC_2022_B-G-01__bin.18"	2744468	2779	"p__Bacteroidota"	149	27	99.13	0.467876473890599	2.02929061784897
"QueTC_2022_B-G-01__bin.19"	1851958	1880	"p__Bacillota"	163	27	74.27	0.5030502729609	2.8837528604119
"QueTC_2022_B-G-01__bin.1"	2642672	2780	"p__Actinomycetota"	205	31	68.61	0.492195503937463	2.08954996186117
"QueTC_2022_B-G-01__bin.20"	1929119	2043	"p__Pseudomonadota"	155	32	53.79	0.418816611092638	2.68756674294432
